start;end;width
[147.447, 97.79];[144.78, 97.79];0.8
[144.78, 97.79];[144.78, 97.917];0.8
[133.985, 87.63];[126.365, 80.01];0.8
[114.3, 93.345];[130.81, 93.345];0.8
[134.62, 89.535];[134.62, 87.63];0.8
[118.11, 64.77];[120.65, 64.77];0.8
[123.19, 67.31];[120.65, 64.77];0.8
[123.825, 67.31];[123.19, 67.31];0.8
[134.62, 87.63];[133.985, 87.63];0.8
[144.78, 102.235];[144.78, 97.917];0.8
[126.365, 80.01];[124.46, 80.01];0.8
[124.46, 80.01];[123.825, 79.375];0.8
[139.065, 87.63];[134.62, 87.63];0.8
[101.6, 71.12];[107.95, 71.12];0.8
[115.57, 98.425];[115.57, 104.775];0.8
[114.3, 93.345];[114.3, 97.155];0.8
[114.3, 97.155];[115.57, 98.425];0.8
[115.57, 111.76];[115.57, 104.775];0.8
[123.825, 79.375];[123.825, 67.31];0.8
[130.81, 93.345];[134.62, 89.535];0.8
[110.49, 84.455];[114.3, 88.265];0.8
[114.3, 88.265];[114.3, 93.345];0.8
[110.49, 78.74];[110.49, 84.455];0.8
[110.49, 73.66];[107.95, 71.12];0.8
[110.49, 78.74];[110.49, 73.66];0.8
[125.73, 67.31];[123.825, 67.31];0.8
[107.95, 111.76];[115.57, 111.76];0.8
[109.22, 118.11];[107.95, 118.11];0.8
[110.49, 116.84];[109.22, 118.11];0.8
[110.49, 112.395];[110.49, 116.84];0.8
[109.855, 111.76];[110.49, 112.395];0.8
[137.16, 57.15];[139.7, 54.61];0.5
[139.7, 54.61];[139.7, 53.086];0.5
[139.7, 53.086];[143.002, 49.784];0.5
[137.16, 57.15];[142.748, 57.15];0.5
[145.542, 60.706];[145.542, 59.706];0.5
[145.542, 59.706];[142.986, 57.15];0.5
[142.986, 57.15];[142.748, 57.15];0.5
[136.525, 57.15];[133.985, 59.69];0.5
[136.525, 57.15];[137.16, 57.15];0.5
[133.985, 68.58];[128.27, 74.295];0.5
[133.985, 62.23];[133.985, 68.58];0.5
[133.985, 62.23];[133.985, 59.69];0.5
[128.27, 74.295];[128.27, 75.184];0.5
[148.717, 99.314];[148.717, 101.473];0.5
[148.717, 101.473];[147.955, 102.235];0.5
[140.97, 99.06];[142.24, 97.79];0.5
[204.73401, 119.39001];[204.724, 119.38];0.5
[204.724, 119.38];[193.04, 119.38];0.5
[193.04, 119.38];[190.5, 121.92];0.5
[190.5, 121.92];[189.23, 121.92];0.5
[210.185, 119.38];[208.839207, 119.38];0.4
